Date,Market,Chain,Product,Return,Sum
2023-01-03,Номин,Номин УИД,753618.13,,
2023-01-03,Номин,Номин Андууд,426576.3,,
2023-01-03,Номин,Номин 10 ХАС,639864.45,28438.42,668302.87
2023-01-04,Номин,Номин Нисэх,483453.14,42657.63,526110.77
2023-01-04,Номин,Номин Яармаг,483453.14,14219.21,497672.35000000003
2023-01-05,Номин,Номин зүүн 4 зам,511891.56,14219.21,526110.77
2023-01-05,Номин,Номин Өргөө,270164.99,,
2023-01-06,Номин,Номин УИД,327041.83,,
2023-01-06,Номин,Номин ривер,469233.93,28438.42,497672.35
2023-01-06,Номин,Номин зайсан,412357.09,28438.42,440795.51
2023-01-06,Номин,Номин их монгол,526110.77,14219.21,540329.98
2023-01-09,Номин,Номин УИД,497672.35,,
2023-01-09,Номин,Номин 11,284384.2,,
2023-01-11,Номин,Номин замын үүд,1279728.9,14219.21,1293948.1099999999
2023-01-12,Номин,Номин зүүн 4 зам,270164.99,14219.21,284384.2
2023-01-12,Номин,Номин юнайтед,497672.35,,
2023-01-13,Номин,Номин Өргөө,142192.1,,
2023-01-13,Номин,Номин 32,497672.35,127972.89,625645.24
2023-01-13,Номин,Номин зунжин,824714.18,113753.68,938467.8600000001
2023-01-15,Номин,Номин УИД,611426.03,,
2023-01-15,Номин,,597206.82,85315.26,682522.08
2023-01-15,Номин,Номин наадам,853152.6,14219.21,867371.8099999999
2023-01-15,Номин,Номин РивэрГардэн,554549.19,28438.42,582987.61
2023-01-15,Номин,Номин их монгол,398137.88,14219.21,412357.09
2023-01-15,Номин,Номин 11,199068.94,,
2023-01-16,Номин,Номин Яармаг,312822.62,,
2023-01-16,Номин,Номин Седар,991393.12,42657.63,1034050.75
2023-01-18,Номин,Номин нарны хороолол,327041.83,42657.63,369699.46
2023-01-19,Номин,Номин УИД,717276.55,,
2023-01-19,Номин,Номин Андууд,241726.57,14219.21,255945.78
2023-01-19,Номин,Номин Өргөө,312822.62,,
2023-01-20,Номин,Номин 10 ХАС,554549.19,28438.42,582987.61
2023-01-20,Номин,Номин москва,455014.72,127972.89,582987.61
